"STATISTIC Label","Year","Taxation Class","Type of Fuel","UNIT","VALUE"
"New and Secondhand Vehicles","2013","All Goods Vehicles","Hybrid","Number","0"
"New and Secondhand Vehicles","2013","All Tractors","All fuel types","Number","11001"
"New and Secondhand Vehicles","2013","All Tractors","Petrol","Number","14"
"New and Secondhand Vehicles","2013","All Tractors","Diesel","Number","10987"
"New and Secondhand Vehicles","2013","All Tractors","Other fuel types","Number","0"
"New and Secondhand Vehicles","2013","All Tractors","Electric","Number","0"
"New and Secondhand Vehicles","2013","All Tractors","Hybrid","Number","0"
"New and Secondhand Vehicles","2013","All Motor Cycles","All fuel types","Number","2565"
"New and Secondhand Vehicles","2013","All Motor Cycles","Petrol","Number","2546"
"New and Secondhand Vehicles","2013","All Motor Cycles","Diesel","Number","7"
"New and Secondhand Vehicles","2013","All Motor Cycles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2013","All Motor Cycles","Electric","Number","12"
"New and Secondhand Vehicles","2013","All Motor Cycles","Hybrid","Number","0"
"New and Secondhand Vehicles","2013","All Other Vehicles","All fuel types","Number","10810"
"New and Secondhand Vehicles","2013","All Other Vehicles","Petrol","Number","2313"
"New and Secondhand Vehicles","2013","All Other Vehicles","Diesel","Number","8410"
